k,before,probe_after,random_after,probe_delta,random_delta
1,0.23006008565425873,-0.01436390820890665,0.18117528688162565,-0.24442399386316538,-0.048884798772633076
2,0.23006008565425873,-0.01436390820890665,0.18117528688162565,-0.24442399386316538,-0.048884798772633076
3,0.23006008565425873,-0.01436390820890665,0.23006008565425873,-0.24442399386316538,0.0
4,0.23006008565425873,-0.01436390820890665,0.23006008565425873,-0.24442399386316538,0.0
5,0.23006008565425873,-0.01436390820890665,0.13229048810899258,-0.24442399386316538,-0.09776959754526615
6,0.23006008565425873,-0.01436390820890665,0.18117528688162565,-0.24442399386316538,-0.048884798772633076
7,0.23006008565425873,-0.01436390820890665,0.13229048810899258,-0.24442399386316538,-0.09776959754526615
8,0.23006008565425873,-0.01436390820890665,0.13229048810899258,-0.24442399386316538,-0.09776959754526615
9,0.23006008565425873,-0.01436390820890665,0.034520890563726425,-0.24442399386316538,-0.1955391950905323
10,0.23006008565425873,-0.01436390820890665,0.0834056893363595,-0.24442399386316538,-0.14665439631789923
11,0.23006008565425873,-0.01436390820890665,-0.01436390820890665,-0.24442399386316538,-0.24442399386316538
12,0.23006008565425873,-0.01436390820890665,-0.01436390820890665,-0.24442399386316538,-0.24442399386316538
