k,before,probe_after,random_after,probe_delta,random_delta
1,0.4331010840166218,0.5259757137028941,0.45167600995387625,0.0928746296862723,0.01857492593725446
2,0.4331010840166218,0.5259757137028941,0.45167600995387625,0.0928746296862723,0.01857492593725446
3,0.4331010840166218,0.5259757137028941,0.43310108401662173,0.0928746296862723,-5.551115123125783e-17
4,0.4331010840166218,0.5259757137028941,0.43310108401662173,0.0928746296862723,-5.551115123125783e-17
5,0.4331010840166218,0.5259757137028941,0.4702509358911307,0.0928746296862723,0.03714985187450892
6,0.4331010840166218,0.5259757137028941,0.45167600995387625,0.0928746296862723,0.01857492593725446
7,0.4331010840166218,0.5259757137028941,0.4702509358911307,0.0928746296862723,0.03714985187450892
8,0.4331010840166218,0.5259757137028941,0.4702509358911307,0.0928746296862723,0.03714985187450892
9,0.4331010840166218,0.5259757137028941,0.5074007877656396,0.0928746296862723,0.07429970374901779
10,0.4331010840166218,0.5259757137028941,0.4888258618283852,0.0928746296862723,0.05572477781176344
11,0.4331010840166218,0.5259757137028941,0.5259757137028941,0.0928746296862723,0.0928746296862723
12,0.4331010840166218,0.5259757137028941,0.5259757137028941,0.0928746296862723,0.0928746296862723
