model_name,model_family,training_stage,num_prompts,sycophancy_rate,mean_behavior_margin,std_behavior_margin,best_probe_pearson,best_probe_spearman,best_probe_layer,best_probe_layer_frac,probe_gradient_behavior_delta,answer_flip_rate_probe_gradient,accuracy_change_probe_gradient,random_behavior_delta,answer_flip_rate_random,accuracy_change_random,logit_gradient_behavior_delta,answer_flip_rate_logit_gradient,accuracy_change_logit_gradient
gpt2-small,gpt2,base,299,0.5050167224080268,-0.021222585093172278,1.0645688190438884,0.5184938311576843,0.5193339500462535,8,0.7272727272727273,-0.0418459562313409,0.0,0.0,-0.0762467238638136,0.0,0.0,-0.0371832537651062,0.0,0.0
EleutherAI/pythia-410m,pythia,base,299,0.5083612040133779,-0.0028282697911082046,0.7574616782121071,0.6109327673912048,0.5602836879432623,16,0.6956521739130435,0.0053139736858176,0.0,0.0,0.0078971809338201,0.0,0.0,0.0053139736858176,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,qwen,instruct,200,0.66,0.06643178221007111,0.2099622759059518,0.4213067293167114,0.2149193548387097,5,0.21739130434782608,,,,,,,,,
