k,before,probe_after,random_after,probe_delta,random_delta
1,0.13176613439662782,0.4451322156653112,0.13176613439662782,0.31336608126868337,0.0
2,0.13176613439662782,0.4451322156653112,0.13176613439662782,0.31336608126868337,0.0
3,0.13176613439662782,0.4451322156653112,0.1944393506503645,0.31336608126868337,0.06267321625373667
4,0.13176613439662782,0.4451322156653112,0.25711256690410117,0.31336608126868337,0.12534643250747335
5,0.13176613439662782,0.4451322156653112,0.1944393506503645,0.31336608126868337,0.06267321625373667
6,0.13176613439662782,0.4451322156653112,0.31978578315783784,0.31336608126868337,0.18801964876121002
7,0.13176613439662782,0.4451322156653112,0.4451322156653112,0.31336608126868337,0.31336608126868337
8,0.13176613439662782,0.4451322156653112,0.3824589994115745,0.31336608126868337,0.2506928650149467
9,0.13176613439662782,0.4451322156653112,0.3824589994115745,0.31336608126868337,0.2506928650149467
10,0.13176613439662782,0.4451322156653112,0.4451322156653112,0.31336608126868337,0.31336608126868337
11,0.13176613439662782,0.4451322156653112,0.3824589994115745,0.31336608126868337,0.2506928650149467
12,0.13176613439662782,0.4451322156653112,0.4451322156653112,0.31336608126868337,0.31336608126868337
