model_name,layer,layer_frac,intervention_type,test_pearson,test_spearman,test_r2,behavior_margin_delta,bootstrap_ci_low,bootstrap_ci_high,answer_flip_rate,accuracy_change,n_examples
gpt2-small,0,0.0,activation_patching,-0.0487230159342289,-0.0231267345050878,-0.9298938512802124,-0.003853079040443876,-0.010411004672046488,0.0030963450072188444,0.0,0.0,30
gpt2-small,1,0.09090909090909091,activation_patching,0.1447516828775406,0.0798643231575701,-1.221768140792847,0.03769537776541365,-0.02430111902637774,0.10002433038112425,0.0,0.0,30
gpt2-small,2,0.18181818181818182,activation_patching,0.0489281266927719,0.0244835029293863,-1.0156960487365725,0.017811141981420264,-0.06349037871125976,0.10270058463839968,0.0,0.0,30
gpt2-small,3,0.2727272727272727,activation_patching,3.0267518013715744e-05,-0.0026518655565834,-1.0306878089904783,0.01673636189882469,-0.038302075732202505,0.08562976067060829,0.0,0.0,30
gpt2-small,4,0.36363636363636365,activation_patching,0.0918109714984893,0.0073388837496145,-0.7308527231216431,0.003061264750665756,-0.05726577465920211,0.06288836402670968,0.0,0.0,30
gpt2-small,5,0.45454545454545453,activation_patching,0.2912743091583252,0.3465309898242368,-0.3132846355438232,0.00545816928716887,-0.0449136169399611,0.05898565121307783,0.0,0.0,30
gpt2-small,6,0.5454545454545454,activation_patching,0.3879943490028381,0.4148627813752698,-0.239409327507019,-0.0032006076463277485,-0.029589638278072265,0.02260510436533281,0.0,0.0,30
gpt2-small,7,0.6363636363636364,activation_patching,0.4482505023479461,0.4500154178230034,-0.0821189880371093,-0.00774687097128792,-0.023113692576535966,0.004154499844268554,0.0,0.0,30
gpt2-small,8,0.7272727272727273,activation_patching,0.5184938311576843,0.5193339500462535,0.0280981063842773,-0.013338098174126218,-0.03320073737944957,0.0035762659979253837,0.0,0.0,30
gpt2-small,9,0.8181818181818182,activation_patching,0.0625217705965042,0.0417514646931853,-1.1196844577789309,-0.009127596317049382,-0.021423911837148136,0.0030268084493483708,0.0,0.0,30
gpt2-small,10,0.9090909090909091,activation_patching,0.0487936362624168,0.0819611470860314,-1.596344232559204,0.006032274391514634,0.0009878966913680323,0.011437957467856205,0.0,0.0,30
gpt2-small,11,1.0,activation_patching,0.0295617803931236,0.1102065988282454,-1.6415166854858398,0.007234197766692518,0.0015719225119660962,0.014741554247008423,0.0,0.0,30
